iter	Passed	Remaining
0	57	57728
1	58	28956
2	58	19361
3	58	14565
4	58	11684
5	58	9766
6	59	8396
7	59	7365
8	59	6565
9	59	5926
10	60	5402
11	60	4965
12	60	4595
13	60	4278
14	60	4003
15	61	3764
16	61	3556
17	61	3369
18	61	3200
19	62	3047
20	62	2910
21	62	2785
22	62	2671
23	63	2565
24	63	2469
25	63	2380
26	63	2297
27	63	2220
28	64	2149
29	64	2082
30	64	2019
31	64	1960
32	65	1905
33	65	1852
34	65	1804
35	65	1759
36	65	1715
37	66	1674
38	66	1635
39	66	1597
40	66	1562
41	67	1528
42	67	1496
43	67	1466
44	67	1436
45	67	1408
46	68	1381
47	68	1356
48	68	1331
49	68	1307
50	69	1285
51	69	1263
52	69	1241
53	69	1221
54	69	1201
55	70	1182
56	70	1163
57	70	1146
58	70	1128
59	70	1112
60	71	1095
61	71	1080
62	71	1064
63	71	1050
64	72	1036
65	72	1022
66	72	1008
67	72	995
68	72	982
69	73	970
70	73	958
71	73	946
72	73	935
73	73	924
74	74	913
75	74	902
76	74	892
77	74	882
78	74	872
79	75	862
80	75	853
81	75	844
82	75	834
83	75	825
84	75	817
85	76	809
86	76	800
87	76	793
88	76	786
89	77	779
90	77	772
91	77	764
92	77	757
93	77	750
94	78	743
95	78	737
96	78	731
97	78	724
98	78	718
99	79	712
100	79	706
101	79	700
102	79	694
103	79	688
104	80	682
105	80	677
106	80	672
107	80	666
108	80	661
109	81	656
110	81	651
111	81	646
112	81	641
113	81	636
114	82	631
115	82	627
116	82	622
117	82	617
118	82	613
119	83	609
120	83	604
121	83	600
122	83	595
123	83	591
124	83	587
125	84	583
126	84	579
127	84	575
128	84	571
129	84	568
130	85	564
131	85	561
132	85	557
133	85	554
134	85	550
135	86	547
136	86	543
137	86	540
138	86	537
139	86	533
140	87	530
141	87	527
142	87	523
143	87	520
144	87	517
145	87	514
146	88	511
147	88	508
148	88	505
149	88	502
150	88	500
151	89	497
152	89	494
153	89	491
154	89	489
155	89	486
156	90	483
157	90	481
158	90	478
159	90	476
160	90	473
161	91	470
162	91	468
163	91	465
164	91	463
165	91	461
166	92	458
167	92	456
168	92	454
169	92	451
170	92	450
171	93	447
172	93	445
173	93	443
174	93	441
175	93	439
176	94	437
177	94	435
178	94	433
179	94	431
180	94	429
181	95	427
182	95	425
183	95	423
184	95	421
185	95	420
186	96	418
187	96	416
188	96	414
189	96	412
190	96	410
191	97	408
192	97	407
193	97	405
194	97	403
195	97	401
196	98	399
197	98	398
198	98	396
199	98	394
200	98	393
201	99	391
202	99	389
203	99	388
204	99	386
205	99	385
206	100	383
207	100	382
208	100	380
209	100	379
210	101	377
211	101	376
212	101	374
213	101	373
214	101	371
215	102	370
216	102	368
217	102	367
218	102	366
219	102	364
220	103	363
221	103	362
222	103	360
223	103	359
224	103	357
225	104	356
226	104	355
227	104	353
228	104	352
229	104	351
230	105	349
231	105	348
232	105	347
233	105	345
234	105	344
235	105	343
236	106	341
237	106	340
238	106	339
239	106	338
240	106	336
241	107	335
242	107	334
243	107	333
244	107	332
245	107	330
246	108	329
247	108	328
248	108	327
249	108	326
250	109	325
251	109	324
252	109	323
253	109	321
254	109	320
255	109	319
256	110	318
257	110	317
258	110	316
259	110	315
260	110	314
261	111	313
262	111	312
263	111	311
264	111	309
265	111	308
266	112	307
267	112	306
268	112	305
269	112	304
270	112	303
271	113	302
272	113	301
273	113	300
274	113	299
275	113	298
276	114	297
277	114	296
278	114	296
279	114	295
280	114	294
281	115	293
282	115	292
283	115	291
284	115	290
285	116	289
286	116	288
287	116	287
288	116	286
289	116	286
290	117	285
291	117	284
292	117	283
293	117	282
294	117	281
295	118	280
296	118	279
297	118	278
298	118	278
299	118	277
300	119	276
301	119	275
302	119	274
303	119	273
304	119	273
305	120	272
306	120	271
307	120	270
308	120	269
309	120	268
310	121	268
311	121	267
312	121	266
313	121	265
314	121	265
315	122	264
316	122	263
317	123	264
318	123	263
319	123	262
320	123	261
321	124	261
322	124	260
323	124	259
324	124	258
325	124	258
326	125	257
327	125	256
328	125	256
329	125	255
330	125	254
331	126	253
332	126	253
333	126	252
334	126	251
335	127	251
336	127	250
337	127	249
338	127	248
339	127	248
340	128	247
341	128	246
342	128	246
343	128	245
344	128	244
345	129	244
346	129	243
347	129	242
348	129	241
349	129	241
350	130	240
351	130	240
352	130	239
353	130	238
354	131	238
355	131	237
356	131	236
357	131	236
358	131	235
359	132	234
360	132	234
361	132	233
362	132	232
363	132	232
364	133	231
365	133	230
366	133	230
367	133	229
368	133	228
369	133	228
370	134	227
371	134	226
372	134	226
373	134	225
374	135	225
375	135	224
376	135	223
377	135	223
378	135	222
379	135	221
380	136	221
381	136	220
382	136	219
383	136	219
384	136	218
385	137	218
386	137	217
387	137	216
388	137	216
389	137	215
390	138	215
391	138	214
392	138	213
393	138	213
394	138	212
395	139	212
396	139	211
397	139	210
398	139	210
399	139	209
400	140	209
401	140	208
402	140	208
403	140	207
404	140	207
405	141	206
406	141	205
407	141	205
408	141	204
409	141	204
410	142	203
411	142	203
412	142	202
413	142	202
414	142	201
415	143	201
416	143	200
417	143	199
418	143	199
419	143	198
420	144	198
421	144	197
422	144	197
423	144	196
424	144	196
425	145	195
426	145	195
427	145	194
428	145	193
429	145	193
430	146	193
431	146	192
432	146	191
433	146	191
434	147	191
435	147	190
436	147	189
437	147	189
438	147	188
439	148	188
440	148	187
441	148	187
442	148	186
443	148	186
444	149	185
445	149	185
446	149	184
447	149	184
448	149	183
449	150	183
450	150	182
451	150	182
452	150	181
453	150	181
454	151	180
455	151	180
456	151	179
457	151	179
458	151	179
459	152	178
460	152	178
461	152	177
462	152	177
463	152	176
464	153	176
465	153	175
466	153	175
467	153	174
468	153	174
469	153	173
470	154	173
471	154	172
472	154	172
473	154	171
474	154	171
475	155	170
476	155	170
477	155	169
478	155	169
479	156	169
480	156	168
481	156	168
482	156	167
483	156	167
484	157	166
485	157	166
486	157	165
487	157	165
488	157	165
489	158	164
490	158	164
491	158	163
492	158	163
493	158	162
494	159	162
495	159	161
496	159	161
497	159	160
498	159	160
499	160	160
500	160	159
501	160	159
502	160	158
503	160	158
504	161	157
505	161	157
506	161	157
507	161	156
508	161	156
509	162	155
510	162	155
511	162	154
512	162	154
513	162	154
514	163	153
515	163	153
516	163	152
517	163	152
518	163	151
519	164	151
520	164	151
521	164	150
522	164	150
523	164	149
524	165	149
525	165	148
526	165	148
527	165	148
528	165	147
529	166	147
530	166	146
531	166	146
532	166	145
533	166	145
534	167	145
535	167	144
536	167	144
537	167	143
538	167	143
539	167	143
540	168	142
541	168	142
542	168	141
543	168	141
544	168	141
545	169	140
546	169	140
547	169	139
548	169	139
549	169	138
550	170	138
551	170	138
552	170	137
553	170	137
554	170	136
555	171	136
556	171	136
557	171	135
558	171	135
559	171	135
560	172	134
561	172	134
562	172	133
563	172	133
564	172	133
565	172	132
566	173	132
567	173	131
568	173	131
569	173	131
570	174	130
571	174	130
572	174	130
573	174	129
574	174	129
575	175	128
576	175	128
577	175	128
578	175	127
579	175	127
580	176	127
581	176	126
582	176	126
583	176	125
584	176	125
585	177	125
586	177	124
587	177	124
588	177	123
589	177	123
590	178	123
591	178	122
592	178	122
593	178	122
594	178	121
595	179	121
596	179	121
597	179	120
598	179	120
599	179	119
600	180	119
601	180	119
602	180	118
603	180	118
604	180	118
605	181	117
606	181	117
607	181	116
608	181	116
609	181	116
610	182	115
611	182	115
612	182	115
613	182	114
614	182	114
615	183	114
616	183	113
617	183	113
618	183	113
619	183	112
620	184	112
621	184	111
622	184	111
623	184	111
624	184	110
625	185	110
626	185	110
627	185	109
628	185	109
629	185	109
630	185	108
631	186	108
632	186	108
633	186	107
634	186	107
635	187	107
636	187	106
637	187	106
638	187	106
639	187	105
640	188	105
641	188	105
642	188	104
643	188	104
644	188	103
645	189	103
646	189	103
647	189	102
648	189	102
649	189	102
650	190	101
651	190	101
652	190	101
653	191	101
654	191	100
655	191	100
656	191	100
657	191	99
658	192	99
659	192	99
660	192	98
661	192	98
662	192	98
663	193	97
664	193	97
665	193	97
666	193	96
667	193	96
668	194	96
669	194	95
670	194	95
671	194	95
672	194	94
673	195	94
674	195	94
675	195	93
676	195	93
677	195	93
678	196	92
679	196	92
680	196	92
681	196	91
682	196	91
683	197	91
684	197	90
685	197	90
686	197	90
687	197	89
688	198	89
689	198	89
690	198	88
691	198	88
692	199	88
693	199	87
694	199	87
695	199	87
696	199	86
697	200	86
698	200	86
699	200	85
700	200	85
701	201	85
702	201	85
703	201	84
704	201	84
705	201	84
706	202	83
707	202	83
708	202	83
709	202	82
710	202	82
711	203	82
712	203	81
713	203	81
714	203	81
715	203	80
716	204	80
717	204	80
718	204	79
719	204	79
720	204	79
721	205	78
722	205	78
723	205	78
724	205	78
725	205	77
726	206	77
727	206	77
728	206	76
729	206	76
730	206	76
731	207	75
732	207	75
733	207	75
734	207	74
735	207	74
736	207	74
737	208	73
738	208	73
739	208	73
740	208	72
741	208	72
742	209	72
743	209	72
744	209	71
745	209	71
746	209	71
747	210	70
748	210	70
749	210	70
750	210	69
751	210	69
752	211	69
753	211	68
754	211	68
755	211	68
756	211	67
757	211	67
758	212	67
759	212	67
760	212	66
761	212	66
762	212	66
763	213	65
764	213	65
765	213	65
766	213	64
767	213	64
768	214	64
769	214	64
770	214	63
771	214	63
772	214	63
773	215	62
774	215	62
775	215	62
776	215	61
777	215	61
778	216	61
779	216	60
780	216	60
781	216	60
782	216	60
783	217	59
784	217	59
785	217	59
786	217	58
787	217	58
788	218	58
789	218	58
790	218	57
791	218	57
792	218	57
793	219	56
794	219	56
795	219	56
796	219	55
797	219	55
798	220	55
799	220	55
800	220	54
801	220	54
802	220	54
803	221	53
804	221	53
805	221	53
806	221	53
807	221	52
808	222	52
809	222	52
810	222	51
811	222	51
812	222	51
813	222	50
814	223	50
815	223	50
816	223	50
817	223	49
818	223	49
819	224	49
820	224	48
821	224	48
822	224	48
823	224	48
824	225	47
825	225	47
826	225	47
827	225	46
828	226	46
829	226	46
830	226	46
831	226	45
832	227	45
833	227	45
834	227	45
835	228	44
836	228	44
837	228	44
838	228	43
839	228	43
840	229	43
841	229	43
842	229	42
843	229	42
844	229	42
845	230	41
846	230	41
847	230	41
848	230	41
849	230	40
850	231	40
851	231	40
852	231	39
853	231	39
854	231	39
855	232	39
856	232	38
857	232	38
858	232	38
859	232	37
860	233	37
861	233	37
862	233	37
863	233	36
864	233	36
865	234	36
866	234	35
867	234	35
868	234	35
869	235	35
870	235	34
871	235	34
872	235	34
873	235	33
874	236	33
875	236	33
876	236	33
877	236	32
878	236	32
879	236	32
880	237	32
881	237	31
882	237	31
883	237	31
884	237	30
885	238	30
886	238	30
887	238	30
888	238	29
889	238	29
890	239	29
891	239	28
892	239	28
893	239	28
894	239	28
895	240	27
896	240	27
897	240	27
898	240	27
899	240	26
900	241	26
901	241	26
902	241	25
903	241	25
904	241	25
905	242	25
906	242	24
907	242	24
908	242	24
909	242	24
910	243	23
911	243	23
912	243	23
913	243	22
914	243	22
915	244	22
916	244	22
917	244	21
918	244	21
919	244	21
920	245	21
921	245	20
922	245	20
923	245	20
924	245	19
925	246	19
926	246	19
927	246	19
928	246	18
929	246	18
930	247	18
931	247	18
932	247	17
933	247	17
934	247	17
935	247	16
936	248	16
937	248	16
938	248	16
939	248	15
940	248	15
941	249	15
942	249	15
943	249	14
944	249	14
945	249	14
946	250	14
947	250	13
948	250	13
949	250	13
950	251	12
951	251	12
952	251	12
953	251	12
954	251	11
955	252	11
956	252	11
957	252	11
958	252	10
959	252	10
960	252	10
961	253	10
962	253	9
963	253	9
964	253	9
965	253	8
966	254	8
967	254	8
968	254	8
969	254	7
970	254	7
971	255	7
972	255	7
973	255	6
974	255	6
975	255	6
976	256	6
977	256	5
978	256	5
979	256	5
980	256	4
981	257	4
982	257	4
983	257	4
984	257	3
985	257	3
986	258	3
987	258	3
988	258	2
989	258	2
990	258	2
991	259	2
992	259	1
993	259	1
994	259	1
995	259	1
996	260	0
997	260	0
998	260	0
999	260	0
